"HolderAddress","Balance","PendingBalanceUpdate"
"0x001f0381c879908e9b3be9f4cd074dfd69db698e","3332.05650991959","No"
"0x005b588fd48a60b91a0c2fbffd01c3ee4b7dd806","53153.975010002","No"
"0x00d7938495a8e0881b7e7e21aeeeb8e632cced95","105292.476469633","No"
"0x017b8b00c792d7c6ed3f22bc2e94bf5d9427ba5e","338243.841114282","No"
"0x020891d1e23ab9a8a5cdc6def299761c5aee0b22","101852.1566277","No"
"0x02d4bc45e55f325a0a20f5831b60e1f55918aba8","35750.7439566013","No"
"0x034a98b99b4963f5aa37eb93fb43d62e25fac62d","66117.5250983642","No"
"0x056e29a0e7f9cef91d1f3fdf9c58b6dd547b5332","293075.465832235","No"
"0x08003f6a0843a0d2bc4223be96c1e1bed9e0ddac","19800.0322413967","No"
"0x089c47e09b96f96edfa79910e76268bd17ccf4c4","68300.2469842271","No"
"0x091f1ce4d8bc81715c2f4b605195ca754fc6893e","58432.0241326958","No"
"0x09fa38eba245bb68354b8950fa2fe71f02863393","1612.97463455884","No"
"0x0be38e7a382aa154ab9e3b7fad1e654c389c8d30","179273.054502798","No"
"0x0f7739f2f93753ab14e0faf5c9a3ee4519674aee","6725.35765196477","No"
"0x1120567c87164ff8971639abd191ce17b79828c1","19000.8479432559","No"
"0x12531bce59f0915dfd4a47b77e6e557684fed798","23537.6091481585","No"
"0x12d618852c82e30805615b28c89cfc39d9faaffc","15480.7841943686","No"
"0x17155d0de1649bf8acfb80366439574f5d9c1f81","13546.1656186499","No"
"0x175c498b55f46af1dd79ad67919815699a759454","167.995869620934","No"
"0x18ad72b9f727c34c896d5acd64c3f627ce5562c9","4762.37926322908","No"
"0x18b8893f6c5f7c653887ff78063bc3bc20404a86","5923.67916274208","No"
"0x190757f124d750c5c4570d75a80cb214e8b53a0d","100031.254345845","No"
"0x191458d229eafe1e246e4c28d346fcb10acb12a3","392378.39054566","No"
"0x1940ac3e9cc28a258b2dcac2935bff8625d3cb7e","106973.591680594","No"
"0x1b73faea4bf6cc125b53cf065ee4240fba43c54a","14340.3478131151","No"
"0x1c012b03f1c2dea274d2eeeb566b0eeabfe3af1a","1080637.82831155","No"
"0x213d67ad32035a75bc2367740726db785bbfa7c3","67989.3538299806","No"
"0x231bc628c6e83d5f6ba5b15f88279afdbaed6e9b","109507.485233937","No"
"0x238f24101876377e9178d125d0747de7fad9c3b2","295025.759569214","No"
"0x24a0ac1aa6af7970c944a7bb53522ab96a69ffb1","4.2000000341033E-05","No"
"0x24b88908192740c496e372a91bbc0f062b8d49b1","1126.9278422316","No"
"0x273034e4bf3037b2eb617c0bd51acb76cfee8659","22472.0589539525","No"
"0x27c7a7dbe592018a3afd0b3d53ca84e14c678b13","18690.9660009515","No"
"0x27d98e8d1ba54b3e4f5c6125aeb4fa49d50e3142","58596.2710953247","No"
"0x28bb088561ba181ec9e88d427f0bd4e75ba88728","4491.39554591593","No"
"0x290789aed2d6fae51191bce9cce498d0c336dd89","16199.3924785209","No"
"0x296241848709fb619807331a212903d724cfabc5","29915.1508572953","No"
"0x2b941d864f977a43f17930d3b5097f60cbc05c0f","1600273.02074186","No"
"0x2cca6b8821d53e2d7c7fc321d21e83fdbe5cb362","33252.5226866619","No"
"0x2ccb1cb25695af8f4ff38352c2696a0af8297d01","580476.399750241","No"
"0x2d929ff2a5fcbad9116ce8bdae7f0ac6cfbaaf30","5799.20020249309","No"
"0x2eca0be455683dc60406c1e1782a20692a14628c","4.2000023835164E-05","No"
"0x32248cb2c05ce6eeeb17649b61e6338052b30afe","1318.80149950294","No"
"0x32474fac8cacb377a90d77c810d63b8f8584d17e","2200000","No"
"0x3249cc1fca7f61b4bd9d76f5e7ecb6c7dc7de298","50000.0000419999","No"
"0x32a59b87352e980dd6ab1baf462696d28e63525d","4.1999999106064E-05","No"
"0x37fcebdd4d2eba610ac04da3ad03d30d807b20e3","2245.79016880092","No"
"0x39a875fe468cc1288273496dacd0a2ebd1443b2f","539199.057378666","No"
"0x3c229864378b3b0adf98ae247ca33986aed8ec1e","74819.591631843","No"
"0x3d1aee8cf3ec85874b714eac226c6d7351c0d572","69","No"
"0x4237ef5dad2ad4aaf1917dc2387c5b4a050e2870","4.1999998673502E-05","No"
"0x4334703b0b74e2045926f82f4158a103fce1df4f","173326.179206992","No"
"0x475bf0d87b359bb02767a8d4fcacb2794f83ee09","23700.5418305563","No"
"0x47e2bc7475ef8a9a5e10aef076da53d3c446291e","32501.405486236","No"
"0x48f171703f605cfd71b1ce4ce69859fab6f3a44c","4.2000009299866E-05","No"
"0x498509d337bd0eafd6b0d45b43fb77a1a9aaa84e","89427.3085810884","No"
"0x4b3f1048c55faa0c0873e249e541139360501f2a","2428019.12537963","No"
"0x4e6a82ac98e87c5acf7738fa57b5fd9ea14af932","10884743.9962924","No"
"0x4e70812b550687692e18f53445c601458228affd","188423.339859944","No"
"0x509a8ca239fdd53b10a6760b20d66a4e0030cb60","4.2000001437069E-05","No"
"0x513732d5d14b9c8144f22c2851ddc7f4d407cac8","574.882303205045","No"
"0x525087f76e899acc5317d5d2c338cb3743196fab","46515.9728176888","No"
"0x54f3da7f2e7bfcd6c7816afca9cf2656445fa7f9","24041.0188980432","No"
